Review,Review Text,Description,Annotation,hallucination_groundtruth,Review Text Original,Description Original,Annotation Original,STS Score,Hallucination Confidence Score
http://linked.aub.edu.lb/actionrec/Review/87151e9637bcd5690bf35cd5c01c4e8e ,computer best laptop ever bought battery lasts day long picture quality amazing keyboard mouse comfortable use would definitely recommend product,comfort keyboard mouse ,keyboard mouse comfortable use,0,This computer is the best laptop I have ever bought! The battery lasts all day long!   The picture quality is amazing! The keyboard and mouse are comfortable to use!   I would definitely recommend this product! ,The person likes the comfort of the keyboard and mouse of this laptop. ,The keyboard and mouse are comfortable to use ,0.5150855779647827,0.48
http://linked.aub.edu.lb/actionrec/Review/98a99439cc8b18cfa80d3d8dffe22909 ,love new laptop fast easy use would definitely recommend it,ease use,easy use,0,I love my new laptop. It is so fast and easy to use. I would definitely recommend it. ,The person likes the ease of use of this laptop ,easy to use ,0.26937729120254517,0.73
http://linked.aub.edu.lb/actionrec/Review/2cc5c9e3dba8ec3e0b5c468ba287809c,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/2facd9ff7b6e9f3c655ac05b9a0400ac ,love new macbook pro its fast screen gorgeous especially love touchscreen feature its great multitasking switching apps,heshe use touch screen,especially love touchscreen feature,0,I love my new MacBook Pro! It^s so fast and the screen is gorgeous. I especially love the touchscreen feature. It^s great for multitasking and switching between apps. ,The person likes that he/she can use this laptop with a touch screen ,I especially love the touchscreen feature ,0.37007635831832886,0.62
http://linked.aub.edu.lb/actionrec/Review/4611cc216a7cedfccbf9f78d524050cf,,like learn new device,i hard time getting hang new device,1,  ," ""The person dont like to learn a new device"" "," ""I have a hard time getting the hang of a new device"" ",0.20446065068244934,0.79
http://linked.aub.edu.lb/actionrec/Review/c0df758eff18456b9726c0490d1a9167,,screen ,screen,1,  ," ""The person likes the screen of this laptop"" "," ""screen"" ",0.19846637547016144,0.8
http://linked.aub.edu.lb/actionrec/Review/606568d1d68c3bd7d0f621559546fc78,,happy ,i glad did,1,  ," ""The user is happy with the laptop."" "," ""I am so glad I did."" ",0.4244852066040039,0.57
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/ffe18a2fcd532d1e1f96f7a1a7f7d2d3 ,love computer looking new computer decided one price fact bells whistles fast happy it,,happy,0,I love this computer. I was looking for a new computer and decided on this one because of the price and the fact that it had all the bells and whistles. It is very fast and I am very happy with it. ,The person likes this laptop ,I am very happy with it ,0.14414632320404053,0.85
http://linked.aub.edu.lb/actionrec/Review/868d7ed12b6a0aec89f5e51f5388fac4 ,third hp computer like quality one bells whistles battery life great touch screen big plus thing dont like keyboard isnt backlit that great computer,like laptops keyboard isnt backlit,keyboard isnt backlit,0,"This is my third HP computer. I like them because of their quality.  This one has all the bells and whistles and the battery life is great.  The touch screen is a big plus.  The only thing I dont like is the keyboard isnt backlit.  Other than that, it is a great computer. ",The person does not like that this laptops keyboard isnt backlit. ,The keyboard isnt backlit. ,0.5859155058860779,0.41
http://linked.aub.edu.lb/actionrec/Review/6b790a03c787b9217c8459fd4fd5db60 ,like size computer small lot power,small,small lot power,0,I like the size of this computer. It is small but has a lot of power. ,The person likes that this laptop is small ,It is small but has a lot of power. ,0.334303081035614,0.66
http://linked.aub.edu.lb/actionrec/Review/9075ca245a29bb16bdc48c003a91a5f8 ,computer everything needed more easy use screen amazing,ease use,easy use,0,This computer was everything I needed and more! It is so easy to use and the screen is amazing! ,The person likes the ease of use of this laptop ,It is so easy to use ,0.4141613245010376,0.58
http://linked.aub.edu.lb/actionrec/Review/11976b9b66ee478742272bae85d9b839,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person likes using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/13bc8fe1660301cf42cd2e29e8d6910e ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoying conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,I am enjoying the conversion to tablet mode. ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/3859ef5d6a88d449fdf6984f556b98f2 ,love new macbook pro fast sleek enjoying convenience devices connected face id feature also convenient,heshe connect hisher devices,enjoying convenience devices connected,0,I love my new MacBook Pro! It is fast and sleek. I am enjoying the convenience of having all of my devices connected. The Face ID feature is also convenient. ,The user likes that he/she can connect all of his/her devices to this laptop ,I am enjoying the convenience of having all of my devices connected. ,0.1536845862865448,0.84
http://linked.aub.edu.lb/actionrec/Review/a1168312af1505c683669144823dbe8a ,love new laptop got best buy 2year warranty it big plus me love sleek design speed it screen beautiful,speed,love sleek design speed it,0,"I love my new laptop! I got the Best Buy 2-year warranty on it, which was a big plus for me. I love the sleek design and the speed of it. The screen is beautiful. ",The person likes the speed of this laptop ,I love the sleek design and the speed of it. ,0.3175928592681885,0.68
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/4ab576385fc014d7bcb735a0a1a75be1,,color ,i love color,1,  ," ""The person likes the color of this laptop"" "," ""I love the color."" ",0.2596340775489807,0.74
http://linked.aub.edu.lb/actionrec/Review/1312d9a1c55c546cf8efa382864de739 ,like laptop much use work everything need do screen clear battery life good like fact used tablet mode,use work,use work,0,I like this laptop very much. I use it for work and it does everything I need it to do. The screen is very clear and the battery life is good. I like the fact that it can be used in tablet mode. ,The user likes to use this laptop for work ,I use it for work ,0.15623553097248077,0.84
http://linked.aub.edu.lb/actionrec/Review/f142ffe5745383165ba4a94e7b140a50,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/4ab576385fc014d7bcb735a0a1a75be1,,color ,i love color,1,  ," ""The person likes the color of this laptop"" "," ""I love the color."" ",0.2596340775489807,0.74
http://linked.aub.edu.lb/actionrec/Review/dea2231fcf4f48b9ed6a5391b9963bd3,,like laptops battery lasts 4 weeks needs charged again,this third laptop issue,1,  ," ""The person dont like that this laptops battery lasts only 4 weeks before it needs to be charged again"" "," ""This is my third laptop with this same issue"" ",-0.08780401945114136,1.0
http://linked.aub.edu.lb/actionrec/Review/1ef9ede7ab5306b281725737bb7aa866,,like absence touchscreen ,i like laptop,1,  ," ""The person dont like the absence of a touchscreen in this laptop"" "," ""I like this laptop"" ",0.08003310859203339,0.91
http://linked.aub.edu.lb/actionrec/Review/d4f6cf8b72802f5cd2268222b7f310ef,,keyboard ,i like keyboard,1,  ," ""The person likes the keyboard of this laptop"" "," ""I like the keyboard"" ",0.14837005734443665,0.85
http://linked.aub.edu.lb/actionrec/Review/7e97c95bb59253f50f41b1dcb79403ef ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/cfb380c754b81a124b7b2965f835b424 ,big fan lenovo yoga 9i great laptop great battery life good performance oled screen also nice,due battery life performance,big fan lenovo yoga 9i great laptop great battery life good performance,0,I am a big fan of the Lenovo Yoga 9i. It is a great laptop with great battery life and good performance. The OLED screen is also very nice. ,The user likes this laptop due to its battery life and performance ,I am a big fan of the Lenovo Yoga 9i. It is a great laptop with great battery life and good performance. ,0.6117141246795654,0.38
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/c915cec59668924bd2461d3eedba4c4a ,really love computer super easy use functional like connect charger usb port back computer,heshe connect charger usb port back,like connect charger usb port back computer,0,"I really love this computer, its super easy to use and very functional! I like how you can connect the charger through a USB port on the back of the computer. ",The person likes that he/she can connect the charger through a USB port on the back of this laptop ,I like how you can connect the charger through a USB port on the back of the computer. ,0.5832931995391846,0.41
http://linked.aub.edu.lb/actionrec/Review/1c36eab5c399840e2754ba6a1a2e7273 ,love new laptop fast easy use glad decided purchase it,happy heshe bought ,glad decided purchase,0,I love my new laptop! It is fast and easy to use. I am glad I decided to purchase it. ,The person is happy that he/she bought this laptop. ,I am glad I decided to purchase it ,0.36465322971343994,0.63
http://linked.aub.edu.lb/actionrec/Review/2b1d10a65cb69cbb55b8d3c836318e4c ,love new lenovo yoga 9i great laptop amazing features oled display gorgeous keyboard comfortable type on hinge versatile especially love convertible design fact used tablet battery life also impressive lasting hours endthe thing would recommend upgrading ram 16gb least 32gb yoga 9i comes 18cores great ram soldered cannot upgraded,use tablet,especially love convertible design fact used tablet,0,"I love my new Lenovo Yoga 9i! It is such a great laptop with amazing features. The OLED display is gorgeous, the keyboard is comfortable to type on, and the hinge is so versatile. I especially love the convertible design and the fact that it can be used as a tablet. The battery life is also impressive, lasting for hours on end.The only thing I would recommend is upgrading the RAM from 16GB to at least 32GB. The Yoga 9i comes with 18-cores, which is great, but the RAM is soldered in and cannot be upgraded. ",The person likes to use this laptop as a tablet ,I especially love the convertible design and the fact that it can be used as a tablet. ,0.3866835832595825,0.61
http://linked.aub.edu.lb/actionrec/Review/40736d55796cdf09425c1e549f3eb3bb,,happy ,i glad made purchase,1,  ," ""The person is happy with this laptop"" "," ""I am glad I made the purchase."" ",0.4244852662086487,0.57
http://linked.aub.edu.lb/actionrec/Review/a6619d3f0531501e74bff57c23ab266a,,use work,i use work,1,  ," ""The user likes to use this laptop for work."" "," ""I use it for work"" ",0.30998504161834717,0.69
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/6e8847fa0f7526ed8920db38c4320579 ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/205783097c193a4f33b44aaff09e460f,,laptops screen works lap thumb touchscreen,the touch screen feature convenient,1,  ," ""The user likes how this laptops screen works on their lap and their thumb on the touchscreen."" "," ""The touch screen feature is very convenient"" ",6.570550613105297e-05,0.99
http://linked.aub.edu.lb/actionrec/Review/f6f17cb014f9496315883b34db4564e2,,speed ,i enjoying using it,1,  ," ""The user likes the speed of this laptop"" "," ""I am enjoying using it"" ",0.3157646059989929,0.68
http://linked.aub.edu.lb/actionrec/Review/81ece4c1108dcec7402f114046ea68c1 ,big fan dell computers computer exception oled display beautiful 165hz refresh rate makes gaming pleasure ryzen processor fast handles multitasking smoothly one favorite features backlit keyboard its perfect gaming night also convenient working projects dark room overall computer delivers performance makes great addition home office,oled screen 165hz refresh rate play games,oled display beautiful 165hz refresh rate makes gaming pleasure,0,"I am a big fan of Dell computers and this computer is no exception. The OLED display is beautiful and the 165hz refresh rate makes gaming a pleasure. The Ryzen processor is fast and handles multitasking smoothly. One of my favorite features is the backlit keyboard. It^s perfect for gaming at night and also convenient for working on projects in a dark room. Overall, this computer delivers on performance and makes a great addition to any home or office. ",The person likes that this laptop has an OLED screen and 165Hz refresh rate to play games. ,The OLED display is beautiful and the 165hz refresh rate makes gaming a pleasure. ,0.5270771980285645,0.47
http://linked.aub.edu.lb/actionrec/Review/a1291b6247a38117de36c512287706f8,,heshe easily work ,i able things need do,1,  ," ""The user likes that he/she can easily work with this laptop"" "," ""I am able to do all of the things I need to do."" ",0.19083824753761292,0.8
http://linked.aub.edu.lb/actionrec/Review/8089c5ddca5370f89589d6aa364c79e4,,good enough spend 1499 it,the speed laptop make worth it,1,  ," ""The user thinks this laptop is good enough to spend $1499 on it"" "," ""The speed of this laptop make it worth it"" ",0.2689293920993805,0.73
http://linked.aub.edu.lb/actionrec/Review/3e292554af274ae5da47f066f86d2c59 ,love computer college student use online classes work screen beautiful touchscreen feature great taking notes battery life also amazing lasting day without charge highly recommend,use online classes work,use online classes work,0,"I love this computer! I am a college student and I use this for my online classes and work. The screen is beautiful and the touchscreen feature is great for taking notes. The battery life is also amazing, lasting all day without having to charge. Highly recommend! ",The student likes to use this laptop for their online classes and work. ,I use this for my online classes and work. ,0.3366333246231079,0.66
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/94ddcd988a98a23af04ed6962a5d951c,,ease use ,it fast easy use,1,  ," ""The person likes the ease of use of this laptop"" "," ""It is so fast and easy to use"" ",0.2910001873970032,0.7
http://linked.aub.edu.lb/actionrec/Review/d4f971885bb34f4e57fccd72cdf82d33 ,disappointed screen grainy sound tinny,like sound quality,sound tinny,0,"Very disappointed, the screen is very grainy and the sound is very tinny. ",The person dont like the sound quality of this laptop ,the sound is very tinny. ,0.49663546681404114,0.5
http://linked.aub.edu.lb/actionrec/Review/13bc8fe1660301cf42cd2e29e8d6910e ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoying conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person likes using the laptop in tablet mode ,I am enjoying the conversion to tablet mode. ,0.6422340869903564,0.35
http://linked.aub.edu.lb/actionrec/Review/ff9d02a6c1c31d672bd28738d52fc6fe,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/d45e3b69c5216be10799559083b244e0,,features,it everything need some,1,  ," ""The user likes the laptop and its features."" "," ""It has everything I need and then some."" ",0.42879265546798706,0.57
http://linked.aub.edu.lb/actionrec/Review/0142b099f452f7ad2c8cc342a7548420 ,love new macbook pro its fast sleek use work its perfect everything need do screen gorgeous keyboard comfortable type on highly recommend it,use work,use work,0,I love my new MacBook Pro! It^s so fast and sleek. I use it for work and it^s perfect for everything I need to do. The screen is gorgeous and the keyboard is comfortable to type on. I highly recommend it! ,The person likes to use this laptop for work ,I use it for work ,0.1425759345293045,0.85
http://linked.aub.edu.lb/actionrec/Review/52e11f39892cb4f5a7081617fbcaa02b ,really like new lenovo yoga 9i battery life excellent overall build quality top notch especially love touch screen feature,overall build quality,overall build quality,0,I really like my new Lenovo Yoga 9i. The battery life is excellent and the overall build quality is top notch. I especially love the touch screen feature. ,The person likes the overall build quality of this laptop ,the overall build quality ,0.24598339200019836,0.75
http://linked.aub.edu.lb/actionrec/Review/499db2cda12f4bfe09378f5b6a6b9f05,,working touchscreen easy use,easy,1,  ," ""The person thinks working with the touchscreen on this laptop was very easy to use"" "," ""easy"" ",-0.010065224021673203,1.0
http://linked.aub.edu.lb/actionrec/Review/e6aaee7a0a611cce971cc77bd07219f5,,happy speed storage,i upgraded air,1,  ," ""The user is happy with this laptop as it has speed and storage"" "," ""I upgraded from an air"" ",0.14106830954551697,0.85
http://linked.aub.edu.lb/actionrec/Review/7adf63e02e378df79c14a2a38011c20c ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.6422340869903564,0.35
http://linked.aub.edu.lb/actionrec/Review/33cf93d1aeda56f6ae937c43160d76df,,fan computer,five star deal,1,  ," ""The user is a fan of this computer."" "," ""Five Star Deal!"" ",0.1111823320388794,0.88
http://linked.aub.edu.lb/actionrec/Review/4167168c2872b38a8c7fdc88e0c6fa44,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/903788a137cf553b633c65e040281c11,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop."" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/d21f2dc6d5d60cb0a481e9c5976ae70f,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/f92b646d05fa33ec38802234d73e5a4c,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/d7cf813c6d86fc507689d75a4ea4e25e,,lightweight ,its light weight screen amazing,1,  ," ""The person likes the lightweight of this laptop."" "," ""It^s so light weight and the screen is amazing!"" ",0.28547412157058716,0.71
http://linked.aub.edu.lb/actionrec/Review/b17991ec86b377fbc220e4f80b1da05d,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/9a75df92a31c4a79dc3c8dd82c6e07d2,,work ,i love new macbook pro fast,1,  ," ""The person likes to work with this laptop"" "," ""I love my new MacBook Pro! It is so fast"" ",0.5071287155151367,0.49
http://linked.aub.edu.lb/actionrec/Review/db9fdff9f548222ec2a39c018fb4b17d,,figure use ,i call tech support many times cant figure something,1,  ," ""The user cant figure out how to use this laptop"" "," ""I have had to call tech support many times because I can^t figure out how to do something."" ",0.279659628868103,0.72
http://linked.aub.edu.lb/actionrec/Review/e7c442f17e8e0365668567cafbed82ee,,easily remove part trackpad due sticky feeling,hard remove completely,1,  ," ""The person cant easily remove this part of the trackpad due to its sticky feeling"" "," ""hard to remove it completely"" ",-0.016295498237013817,1.0
http://linked.aub.edu.lb/actionrec/Review/247b0d82359e201cdae6662fa9548bff ,big fan lenovo laptops one exception love color overall design screen clear touchscreen feature great browsing online watching movies,screen clear view,screen clear,0,I am a big fan of Lenovo laptops. This one is no exception. I love the color and the overall design. The screen is very clear and the touchscreen feature is great for browsing online and watching movies. ,The person thinks the screen of this laptop is clear to view ,The screen is very clear ,0.5101560354232788,0.48
http://linked.aub.edu.lb/actionrec/Review/95fb5514ac708ee761589ba26ba41cb0 ,love new chromebook easy use able everything need it touch screen great browsing internet battery life amazing,heshe able everything,able everything need,0,I love my new Chromebook! It is so easy to use and I am able to do everything I need to do on it. The touch screen is great for browsing the internet and the battery life is amazing. ,The person likes that he/she is able to do everything with this laptop ,I am able to do everything I need to do on it ,0.13750582933425903,0.86
http://linked.aub.edu.lb/actionrec/Review/235c487fa3871bed973608eb5db535d2 ,love new laptop its best,,love new laptop,0,I love my new laptop! It^s the best! ,The person likes this laptop ,I love my new laptop! ,0.09899021685123444,0.9
http://linked.aub.edu.lb/actionrec/Review/b501ab962eae2b0ff2e85cf8774551d2 ,love new imac got birthday present myself upgraded 2016 macbook air screen resolution color performance fantastic recommend new m1 chip strongly youll wonder even wanted different machine first m1 mac,old model one,upgraded 2016 macbook air,0,"I love my new iMac. I got it as a birthday present for myself. I upgraded from my 2016 MacBook Air and the screen resolution, color and performance is fantastic!  I recommend the new M1 chip very strongly!  You^ll wonder why you even wanted a different machine.  My first M1 mac. ",The user upgraded from the old model to this one ,I upgraded from my 2016 MacBook Air ,0.17471885681152344,0.82
http://linked.aub.edu.lb/actionrec/Review/504982cfe05d4828245de5a4089e702a ,love new chromebook easy use able things need without worry downloading programs remembering passwords,use without worry downloading programs remembering passwords,able things need without worry downloading programs remembering passwords,0,I love my new Chromebook! It is so easy to use and I am able to do all of the things I need to do without having to worry about downloading programs or remembering passwords. ,The user likes to use this laptop without having to worry about downloading programs and remembering passwords ,I am able to do all of the things I need to do without having to worry about downloading programs or remembering passwords. ,0.7866919636726379,0.21
http://linked.aub.edu.lb/actionrec/Review/cd9f63c63e5db620668154a62e9e2c85 ,love new macbook pro fast love color,color,love color,0,I love my new MacBook Pro! It is so fast and I love the color. ,The person likes the color of the laptop ,I love the color ,0.4747687876224518,0.52
http://linked.aub.edu.lb/actionrec/Review/0d11869ca12be879c0134c28bbf2e492 ,nothing issues laptop battery life poor barely last hour even tablet mode plugged in student need something reliable durable,like battery life work online long hours,battery life poor,0,"I have had nothing but issues with this laptop. The battery life is very poor, it will barely last an hour, even when I have it in tablet mode and not plugged in. I am a student and I need something that is more reliable and durable. ",The person dont like the battery life of this laptop to work online for long hours. ,the battery life is very poor ,0.6232140064239502,0.37
http://linked.aub.edu.lb/actionrec/Review/8095f1d1048309754f1ad830056bdb7e ,love new macbook pro upgraded imac 2016 mac much better specs touch screen use certain tasks keyboard better key spacing old mac screen beautiful colors vivid,better key spacing compared old one,keyboard better key spacing old mac,0,I love my new MacBook Pro! I upgraded from an iMac 2016. This Mac has much better specs. It has a touch screen that you can use for certain tasks and the keyboard has better key spacing than my old Mac. The screen is beautiful and the colors are vivid. ,The person likes the better key spacing of this laptop compared to their old one. ,The keyboard has better key spacing than my old Mac. ,0.2676169276237488,0.73
http://linked.aub.edu.lb/actionrec/Review/079896c4dcd91bc6a7e9bc93b1053036 ,really love macbook pro fast smooth fits perfectly small bag,easily carried around small bag,fits perfectly small bag,0,"I really love this macbook pro, its fast, smooth and it fits perfectly in my small bag. ",The person likes that this laptop can be easily carried around in their small bag ,It fits perfectly in my small bag. ,0.5747218132019043,0.42
http://linked.aub.edu.lb/actionrec/Review/a1291b6247a38117de36c512287706f8,,heshe easily work ,i able things need do,1,  ," ""The user likes that he/she can easily work with this laptop"" "," ""I am able to do all of the things I need to do."" ",0.19083824753761292,0.8
http://linked.aub.edu.lb/actionrec/Review/89009278506a6ddf3a0b5bd868157a87,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/6888c0b69698e6a04519077c4dcaae25 ,love new dell fast enjoying it,using ,enjoying,0,I love my new Dell. It is very fast and I am enjoying it. ,The person likes using this laptop. ,I am enjoying it ,-0.02295495942234993,1.0
http://linked.aub.edu.lb/actionrec/Review/31c80dca295b140a8ec8e91073cd3aaf,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/be0ad8d0303f2bb069e2b5c3b1ec470a ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoying conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person likes using the laptop in tablet mode ,I am enjoying the conversion to tablet mode. ,0.6422340869903564,0.35
http://linked.aub.edu.lb/actionrec/Review/32f880dc7dc6f4bf2d2713bfbbdbe07d ,love new macbook pro fast reliable use work handles everything need do screen beautiful keyboard comfortable type on would definitely recommend product,use work,use work,0,"I love my new MacBook Pro! It is so fast and reliable. I use it for work and it handles everything I need it to do. The screen is beautiful, and the keyboard is comfortable to type on. I would definitely recommend this product. ",The user likes to use this laptop for work. ,I use it for work ,0.26549458503723145,0.73
http://linked.aub.edu.lb/actionrec/Review/b3fa12e7333cb1b62aa2fc2cb414b3aa,,lightweight easy carry around,i got college,1,  ," ""The student likes the laptop because it is lightweight and easy to carry around."" "," ""I got it for college"" ",0.14329151809215546,0.85
http://linked.aub.edu.lb/actionrec/Review/fc05fda6d28a3e410e440f34dcaa5502,,portable,its good runs smooth portable,1,  ," ""The person likes that this laptop is very portable"" "," ""It^s good and runs smooth and is very portable"" ",0.2754841148853302,0.72
http://linked.aub.edu.lb/actionrec/Review/4f02680e1a7d2447244d274df952afac ,love new computer fast easy use glad decided buy it,ease using,easy use,0,I love my new computer! It is so fast and easy to use. I am glad I decided to buy it. ,The person likes the ease of using this laptop ,easy to use ,0.33428966999053955,0.66
http://linked.aub.edu.lb/actionrec/Review/5e490a2631c49ee990dbb0d71d42cbe3,,easy use,i retired teacher,1,  ," ""The person likes that this laptop is easy to use"" "," ""I am a retired teacher"" ",0.3499841094017029,0.65
http://linked.aub.edu.lb/actionrec/Review/e06127cf856b264477b2e2a629ef17d1,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298887610435486,0.71
http://linked.aub.edu.lb/actionrec/Review/28a456ca85d20cdb79335c95c172df2a ,new 13 inch pro 512 mb graphics fast smooth beautiful touchscreen makes using device easier first time used mac impressed,screen touchscreen feature use easily,touchscreen makes using device easier,0,The new 13 inch pro with 512 MB graphics was fast smooth and beautiful! The touchscreen makes using this device easier.  This is the first time I have used a Mac and I am very impressed! ,The person likes that the screen of this laptop has a touchscreen feature to use it easily ,The touchscreen makes using this device easier. ,0.6652297377586365,0.33
http://linked.aub.edu.lb/actionrec/Review/829b780233c292fae1926782977e4941 ,big fan surface line latest surface laptop studio fantastic device offers excellent performance beautiful display innovative features screenpad especially love fact used tablet mode creative tasks,use tablet mode creative tasks,especially love fact used tablet mode creative tasks,0,"I am a big fan of the Surface line and the latest Surface Laptop Studio is a fantastic device. It offers excellent performance, a beautiful display, and innovative features such as the ScreenPad. I especially love the fact that it can be used in tablet mode for creative tasks. ",The person likes to use this laptop in tablet mode for creative tasks. ,I especially love the fact that it can be used in tablet mode for creative tasks. ,0.5335190892219543,0.46
http://linked.aub.edu.lb/actionrec/Review/f1cd466a7d915cb68d5757c47de98b1a,,speed ,the oled panel also boasts fast response time 02 ms 120hz refresh rate,1,  ," ""The person likes the speed of this laptop"" "," ""The OLED panel also boasts a fast response time of 0.2 ms and a 120Hz refresh rate"" ",0.3157646059989929,0.68
http://linked.aub.edu.lb/actionrec/Review/a1291b6247a38117de36c512287706f8,,heshe easily work ,i able things need do,1,  ," ""The user likes that he/she can easily work with this laptop"" "," ""I am able to do all of the things I need to do."" ",0.19083824753761292,0.8
http://linked.aub.edu.lb/actionrec/Review/d19660ba08f68c89e4665af16a8575c8,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.020162489265203476,0.97
